YEAR Code,YEAR,AREA Code,AREA,A1101_Total population (Both sexes)[person],A110101_Total population (Male)[person],A110102_Total population (Female)[person],A1304_Ratio of population (under15 years old)[%],A1305_Ratio of population (15-64 years old)[%],A1306_Ratio of population (65 years old and over)[%],A4200_Number of deaths[person],A420001_Number of deaths (Male)[person],A420002_Number of deaths (Female)[person]
2000100000,2000,47000,Okinawa-ken,"1,318,220","647,877","670,343",***,***,***,"7,946","4,383","3,563"
1999100000,1999,0,All Japan,"126,667,000","62,017,000","64,650,000",***,***,***,"982,031","534,778","447,253"
1999100000,1999,1000,Hokkaido,"5,689,000","2,725,000","2,964,000",***,***,***,"44,414","24,858","19,556"
1999100000,1999,12000,Chiba-ken,"5,893,000","2,964,000","2,930,000",***,***,***,"38,278","21,268","17,010"
1999100000,1999,13000,Tokyo-to,"11,983,000","5,996,000","5,988,000",***,***,***,"85,427","46,950","38,477"
1999100000,1999,26000,Kyoto-fu,"2,645,000","1,279,000","1,366,000",***,***,***,"20,690","10,841","9,849"
1999100000,1999,27000,Osaka-fu,"8,813,000","4,312,000","4,500,000",***,***,***,"61,724","34,206","27,518"
1999100000,1999,34000,Hiroshima-ken,"2,881,000","1,395,000","1,486,000",***,***,***,"23,735","12,932","10,803"
1999100000,1999,47000,Okinawa-ken,"1,308,000","642,000","665,000",***,***,***,"7,880","4,243","3,637"
1998100000,1998,0,All Japan,"126,472,000","61,952,000","64,520,000",***,***,***,"936,484","512,128","424,356"
1998100000,1998,1000,Hokkaido,"5,695,000","2,731,000","2,964,000",***,***,***,"41,755","23,571","18,184"
1998100000,1998,12000,Chiba-ken,"5,867,000","2,951,000","2,915,000",***,***,***,"36,410","20,195","16,215"
1998100000,1998,13000,Tokyo-to,"11,939,000","5,982,000","5,957,000",***,***,***,"80,793","44,653","36,140"
1998100000,1998,26000,Kyoto-fu,"2,643,000","1,280,000","1,363,000",***,***,***,"19,868","10,531","9,337"
1998100000,1998,27000,Osaka-fu,"8,813,000","4,317,000","4,496,000",***,***,***,"59,647","33,285","26,362"
1998100000,1998,34000,Hiroshima-ken,"2,882,000","1,396,000","1,486,000",***,***,***,"22,705","12,408","10,297"
1998100000,1998,47000,Okinawa-ken,"1,298,000","637,000","661,000",***,***,***,"7,643","4,081","3,562"
1997100000,1997,0,All Japan,"126,157,000","61,827,000","64,329,000",***,***,***,"913,402","497,796","415,606"
1997100000,1997,1000,Hokkaido,"5,699,000","2,736,000","2,962,000",***,***,***,"41,238","23,211","18,027"
1997100000,1997,12000,Chiba-ken,"5,839,000","2,940,000","2,899,000",***,***,***,"34,662","19,295","15,367"
1997100000,1997,13000,Tokyo-to,"11,881,000","5,958,000","5,923,000",***,***,***,"78,744","43,548","35,196"
1997100000,1997,26000,Kyoto-fu,"2,638,000","1,279,000","1,359,000",***,***,***,"19,239","10,090","9,149"
1997100000,1997,27000,Osaka-fu,"8,808,000","4,320,000","4,487,000",***,***,***,"57,864","32,103","25,761"
1997100000,1997,34000,Hiroshima-ken,"2,882,000","1,396,000","1,485,000",***,***,***,"22,425","12,120","10,305"
1997100000,1997,47000,Okinawa-ken,"1,289,000","633,000","657,000",***,***,***,"7,381","3,932","3,449"
1996100000,1996,0,All Japan,"125,859,000","61,698,000","64,161,000",***,***,***,"896,211","488,605","407,606"
